Crop,Record_Count,Average_Yield,Total_Production,Average_Rainfall
Coconut ,172,8652.000198744186,308751970278,1793.2412790697674
Sugarcane,605,51.72743941127438,7236536755,1560.0939585200001
Banana,245,26.851127854040815,226471979,1718.1297051428573
Tapioca,201,16.66730148311443,130884693,1924.487251238806
Potato,628,13.331717759538218,629688035,1485.874174150637
Onion,454,13.247524628323788,121700945,1220.363245995815
Sweet potato,273,9.240788497794872,10409540,1600.9575091542124
Jute,181,7.555392696430939,230423821,1918.231341028177
Ginger,323,6.442201573232198,17681841,1607.169924811455
Mesta,210,5.389203528904762,14052802,1766.284372290476
Garlic,250,4.544885948904,18798851,1219.2819003963998
Maize,975,3.4272159774543587,410911181,1408.8204284426668
Turmeric,337,3.325392493047478,9688934,1630.7238620032642
Cashewnut,134,3.1204381424402983,3737207,1939.7027306641792
Bajra,524,2.4274620064561065,118137047,1062.3564083122137
Rice,1197,2.218494541018379,2229301180,1668.5771332937343
Tobacco,362,2.1201598429723756,21083719,1523.4668071522099
Dry chillies,419,2.078329703491647,26009838,1433.3340121312651
Arecanut,162,2.073635437234568,39144261,2111.8475589197533
Wheat,545,2.0050864420862387,1810754504,1451.3153139350459
Oilseeds total,29,1.9955592676551723,17535438,1965.103448275862
Cotton(lint),476,1.7970441190063025,457831414,1448.0854384939075
other oilseeds,126,1.7892204170396826,10033173,1493.3753623174603
Barley,297,1.5955400493097642,19498687,1169.940151847138
Peas & beans (Pulses),369,1.3938954407669375,14310509,1413.7722439
Groundnut,725,1.360983478711724,148626325,1410.8822109173793
Sannhamp,160,1.27495866810625,419887,1148.460795456875
Ragi,498,1.215408287676707,44215960,1350.074251753012
Soyabean,349,1.0831943599426934,191659664,1605.828884604871
Jowar,513,1.0724982779980505,141915435,1139.3774920284602
Arhar/Tur,508,0.967347756984252,60913833,1398.2437109942912
Guar seed,63,0.9518750033492064,7227527,691.3809523809524
Sunflower,441,0.9340864302335601,14644638,1178.4402292700681
Gram,490,0.8764689137326531,134316823,1299.926856593061
Other Summer Pulses,10,0.8599253987,8394,1416.23
Other Cereals,146,0.8495458645616438,1661859,1359.8265113150685
Black pepper,126,0.8296046303571429,2095650,2142.8585678174604
Cowpea(Lobia),134,0.8132239215895523,732573,1578.6993765000002
Rapeseed &Mustard,528,0.7915678563996212,78148914,1473.844236483144
Khesari,75,0.7889407394533333,7115452,1367.2413333333334
Other  Rabi pulses,355,0.7803798285887323,6437766,1609.1877610873241
Small millets,485,0.7687220714474228,13429255,1511.6739364742268
Masoor,323,0.7040915608606811,19724553,1365.3795122510835
Other Kharif pulses,382,0.6995134804162303,5246413,1526.5495777044505
Castor seed,300,0.6936094939966667,24049211,1381.4208181803333
Coriander,199,0.6482002338542713,3242496,1124.5086169502513
Sesamum,685,0.6117499490642335,13542969,1432.8711870658394
Urad,733,0.5840477716793997,35268564,1319.2193129892223
Safflower,169,0.5654818957928993,3241790,1197.5353953786982
Moong(Green Gram),740,0.5309404007337838,22490489,1288.684744550135
Linseed,308,0.47393049192532466,3187572,1432.6672225487011
Horse-gram,370,0.462991803027027,5276782,1175.680043265135
Moth,110,0.4459953350454546,913750,951.0944430463636
Niger seed,192,0.423523330609375,40641053,1366.1215909114583
Cardamom,74,0.1683552699054054,255497,1702.7254914054054
