Feature,Importance
categorical__Crop_Coconut ,0.8558266177471816
numerical__Annual_Rainfall,0.0349325738196523
categorical__State_West Bengal,0.023579779783450796
numerical__Fertilizer,0.019775272783708712
numerical__Pesticide,0.01733450957170601
numerical__Area,0.01584651121930575
categorical__State_Karnataka,0.01227737293032922
numerical__Crop_Year,0.0063846518031342855
categorical__State_Puducherry,0.004412799720371073
categorical__State_Andhra Pradesh,0.003682666376321585
categorical__State_Telangana,0.002833971781011607
categorical__State_Tamil Nadu,0.0013824821884348035
categorical__State_Chhattisgarh,0.0006684389779981484
categorical__State_Goa,0.0006206342228916407
categorical__State_Assam,0.00030690561369008524
categorical__Crop_Sugarcane,9.999514692562138e-05
categorical__Crop_Banana,8.792009724108656e-06
categorical__State_Mizoram,8.243783132718512e-06
categorical__Crop_Potato,4.351703877291575e-06
categorical__Crop_Onion,4.208052344382558e-06
categorical__Crop_Tapioca,2.7001579777702383e-06
categorical__State_Delhi,1.8535741795967586e-06
categorical__Season_Whole Year ,1.5858276795042237e-06
categorical__State_Gujarat,8.592021924652048e-07
categorical__Crop_Sweet potato,7.191369601261737e-07
categorical__State_Meghalaya,5.222159236246279e-07
categorical__Crop_Jute,2.7899532606634437e-07
categorical__Crop_Ginger,2.3464138034870432e-07
categorical__Crop_Cashewnut,1.3703127873094982e-07
categorical__Crop_Maize,1.1099009614958285e-07
categorical__Season_Autumn     ,1.0661527435006657e-07
categorical__State_Jammu and Kashmir,5.818872973090806e-08
categorical__Crop_Mesta,5.418781003113818e-08
categorical__Crop_Niger seed,0.0
categorical__Crop_Moth,0.0
categorical__Crop_Moong(Green Gram),0.0
categorical__Crop_Masoor,0.0
categorical__Crop_Jowar,0.0
categorical__Crop_Khesari,0.0
categorical__Crop_Linseed,0.0
categorical__Crop_Oilseeds total,0.0
categorical__Crop_Guar seed,0.0
categorical__Crop_Gram,0.0
categorical__Crop_Horse-gram,0.0
categorical__Crop_Cotton(lint),0.0
categorical__Crop_Cowpea(Lobia),0.0
categorical__Crop_Dry chillies,0.0
categorical__Crop_Garlic,0.0
categorical__Crop_Arecanut,0.0
categorical__Crop_Arhar/Tur,0.0
categorical__Crop_Barley,0.0
categorical__Crop_Bajra,0.0
categorical__Crop_Castor seed,0.0
categorical__Crop_Coriander,0.0
categorical__Crop_Black pepper,0.0
categorical__Crop_Cardamom,0.0
categorical__Crop_Groundnut,0.0
categorical__Crop_Rapeseed &Mustard,0.0
categorical__Crop_Other Kharif pulses,0.0
categorical__Crop_Rice,0.0
categorical__Crop_Other Summer Pulses,0.0
categorical__Crop_Peas & beans (Pulses),0.0
categorical__Crop_Ragi,0.0
categorical__Crop_Other  Rabi pulses,0.0
categorical__State_Arunachal Pradesh,0.0
categorical__Season_Winter     ,0.0
categorical__Season_Rabi       ,0.0
categorical__Season_Summer     ,0.0
categorical__Season_Kharif     ,0.0
categorical__Crop_Urad,0.0
categorical__Crop_Wheat,0.0
categorical__Crop_other oilseeds,0.0
categorical__Crop_Tobacco,0.0
categorical__Crop_Turmeric,0.0
categorical__Crop_Sannhamp,0.0
categorical__Crop_Safflower,0.0
categorical__Crop_Sesamum,0.0
categorical__Crop_Small millets,0.0
categorical__Crop_Soyabean,0.0
categorical__Crop_Sunflower,0.0
categorical__Crop_Other Cereals,0.0
categorical__State_Manipur,0.0
categorical__State_Kerala,0.0
categorical__State_Madhya Pradesh,0.0
categorical__State_Jharkhand,0.0
categorical__State_Bihar,0.0
categorical__State_Haryana,0.0
categorical__State_Himachal Pradesh,0.0
categorical__State_Maharashtra,0.0
categorical__State_Tripura,0.0
categorical__State_Odisha,0.0
categorical__State_Punjab,0.0
categorical__State_Nagaland,0.0
categorical__State_Sikkim,0.0
categorical__State_Uttar Pradesh,0.0
categorical__State_Uttarakhand,0.0
