State,Crop,Record_Count,Average_Yield,Total_Production,Total_Area
Andhra Pradesh,Arecanut,18,2.21,28388,8819.0
Andhra Pradesh,Arhar/Tur,41,0.49,3781408,8618923.0
Andhra Pradesh,Bajra,45,1.25,1824665,1636806.0
Andhra Pradesh,Banana,18,39.96,40143311,997095.0
Andhra Pradesh,Black pepper,2,0.88,17648,17649.0
Andhra Pradesh,Cashewnut,19,0.45,904333,2523771.0
Andhra Pradesh,Castor seed,30,0.54,1629086,4101494.0
Andhra Pradesh,Coconut ,19,11734.83,25212327031,1965574.0
Andhra Pradesh,Coriander,24,0.52,208291,483761.0
Andhra Pradesh,Cotton(lint),30,2.14,52714488,24993683.0
Andhra Pradesh,Cowpea(Lobia),18,0.58,100217,150694.0
Andhra Pradesh,Dry chillies,45,3.1,15223056,4564510.0
Andhra Pradesh,Garlic,5,1.33,3473,2775.0
Andhra Pradesh,Ginger,23,4.14,141047,27711.0
Andhra Pradesh,Gram,33,1.16,11266895,9943133.0
Andhra Pradesh,Groundnut,46,1.65,26480410,32318018.0
Andhra Pradesh,Guar seed,3,0.63,80,49.0
Andhra Pradesh,Horse-gram,46,0.42,621727,1483553.0
Andhra Pradesh,Jowar,46,1.44,10492826,9026742.0
Andhra Pradesh,Linseed,20,0.29,9935,42405.0
Andhra Pradesh,Maize,46,4.64,55285104,12630979.0
Andhra Pradesh,Masoor,2,0.36,154825,432159.0
Andhra Pradesh,Mesta,25,8.25,6875175,838496.0
Andhra Pradesh,Moong(Green Gram),46,0.51,3403373,7787541.0
Andhra Pradesh,Niger seed,22,0.41,88820,223933.0
Andhra Pradesh,Oilseeds total,9,4.04,12948543,5006406.0
Andhra Pradesh,Onion,41,34.69,14339005,735301.0
Andhra Pradesh,Other  Rabi pulses,20,0.72,106037,164959.0
Andhra Pradesh,Other Kharif pulses,21,0.44,49287,148006.0
Andhra Pradesh,Potato,27,10.74,563423,55582.0
Andhra Pradesh,Ragi,46,1.41,1539868,1336124.0
Andhra Pradesh,Rapeseed &Mustard,22,0.55,62754,81740.0
Andhra Pradesh,Rice,46,3.01,239361201,77053859.0
Andhra Pradesh,Safflower,23,0.5,87862,193448.0
Andhra Pradesh,Sannhamp,3,0.0,0,9232.0
Andhra Pradesh,Sesamum,46,0.25,560761,2436520.0
Andhra Pradesh,Small millets,42,0.67,478034,740510.0
Andhra Pradesh,Soyabean,25,1.44,1342294,955124.0
Andhra Pradesh,Sugarcane,23,81.75,326368035,4234898.0
Andhra Pradesh,Sunflower,35,0.86,4152218,5787735.0
Andhra Pradesh,Sweet potato,27,11.89,205035,18519.0
Andhra Pradesh,Tapioca,26,10.87,2645146,251361.0
Andhra Pradesh,Tobacco,32,5.74,10914747,3855896.0
Andhra Pradesh,Urad,46,0.61,6969227,10332156.0
Andhra Pradesh,Wheat,24,0.81,150552,176292.0
Andhra Pradesh,other oilseeds,10,10.28,9648964,531394.0
Arunachal Pradesh,Arhar/Tur,4,0.82,2725,3231.0
Arunachal Pradesh,Dry chillies,22,2.15,108895,51430.0
Arunachal Pradesh,Ginger,22,6.18,1020032,135712.0
Arunachal Pradesh,Groundnut,6,1.1,4779,5056.0
Arunachal Pradesh,Maize,23,1.54,1443956,1003803.0
Arunachal Pradesh,Masoor,4,0.72,1162,1758.0
Arunachal Pradesh,Moong(Green Gram),4,1.09,5269,5186.0
Arunachal Pradesh,Oilseeds total,19,1.06,741864,661828.0
Arunachal Pradesh,Other  Rabi pulses,4,0.73,3219,5052.0
Arunachal Pradesh,Other Kharif pulses,4,0.92,9181,9936.0
Arunachal Pradesh,Peas & beans (Pulses),8,1.31,24261,17363.0
Arunachal Pradesh,Potato,22,7.06,799550,106915.0
Arunachal Pradesh,Rapeseed &Mustard,6,1.14,153484,153770.0
Arunachal Pradesh,Rice,23,1.31,3851550,2868173.0
Arunachal Pradesh,Sesamum,6,0.77,8857,10885.0
Arunachal Pradesh,Small millets,23,0.97,501017,520784.0
Arunachal Pradesh,Soyabean,6,1.59,24183,17561.0
Arunachal Pradesh,Sugarcane,23,18.96,606884,30689.0
Arunachal Pradesh,Sunflower,6,0.71,2261,3141.0
Arunachal Pradesh,Turmeric,22,4.4,56220,13388.0
Arunachal Pradesh,Urad,8,0.97,9326,10287.0
Arunachal Pradesh,Wheat,23,1.72,140771,86752.0
Arunachal Pradesh,other oilseeds,4,1.12,2564,2831.0
Assam,Arecanut,22,0.9,1341635,1530541.0
Assam,Arhar/Tur,23,0.77,112591,147480.0
Assam,Banana,21,15.0,14924443,973678.0
Assam,Black pepper,13,1.8,76919,43384.0
Assam,Castor seed,23,0.49,11518,26786.0
Assam,Coconut ,22,7185.24,3455431000,444197.0
Assam,Cotton(lint),23,0.5,14433,30725.0
Assam,Dry chillies,23,0.7,295396,392715.0
Assam,Ginger,13,7.9,1743288,215868.0
Assam,Gram,23,0.54,29111,50448.0
Assam,Jute,23,10.01,15852275,1554398.0
Assam,Linseed,23,0.54,95339,174816.0
Assam,Maize,22,1.36,899598,507782.0
Assam,Masoor,19,0.59,278053,453709.0
Assam,Mesta,23,5.11,577695,108473.0
Assam,Moong(Green Gram),19,0.53,101130,174950.0
Assam,Niger seed,23,0.55,97331,183272.0
Assam,Onion,23,3.6,764312,173679.0
Assam,Other  Rabi pulses,14,0.57,508845,904943.0
Assam,Peas & beans (Pulses),19,0.73,354732,478746.0
Assam,Potato,23,7.12,14744023,2001326.0
Assam,Rapeseed &Mustard,23,0.54,3430912,6106905.0
Assam,Rice,69,1.67,97989518,56963430.0
Assam,Sesamum,23,0.55,181852,301079.0
Assam,Small millets,23,0.55,86366,160585.0
Assam,Sugarcane,23,37.49,24546512,649354.0
Assam,Sweet potato,23,4.1,640413,161993.0
Assam,Tapioca,22,6.11,449399,68439.0
Assam,Tobacco,23,0.59,6796,13661.0
Assam,Turmeric,23,0.83,274525,316927.0
Assam,Urad,19,0.58,525869,898190.0
Assam,Wheat,23,1.18,1329099,1130121.0
Bihar,Arhar/Tur,23,1.46,1038354,735816.0
Bihar,Bajra,23,0.99,76524,75487.0
Bihar,Banana,10,18.22,2885145,162341.0
Bihar,Barley,22,1.26,454227,371353.0
Bihar,Castor seed,18,0.96,3628,4078.0
Bihar,Coriander,14,0.71,23819,34480.0
Bihar,Cotton(lint),2,2.02,488,243.0
Bihar,Dry chillies,11,0.94,41236,42912.0
Bihar,Garlic,15,1.47,51874,35706.0
Bihar,Ginger,16,1.55,13042,8504.0
Bihar,Gram,23,1.0,1586584,1573183.0
Bihar,Groundnut,21,0.86,23218,23147.0
Bihar,Horse-gram,18,0.88,172043,199855.0
Bihar,Jowar,23,1.04,91398,80837.0
Bihar,Jute,23,10.82,26742139,2777665.0
Bihar,Khesari,21,0.87,1770053,1932096.0
Bihar,Linseed,23,0.8,473312,629334.0
Bihar,Maize,69,3.0,48767397,15364129.0
Bihar,Masoor,21,0.84,3108675,3404525.0
Bihar,Mesta,23,7.51,3306585,429051.0
Bihar,Moong(Green Gram),42,0.64,2066575,3462631.0
Bihar,Niger seed,2,0.61,31531,50793.0
Bihar,Onion,15,9.97,2289684,227537.0
Bihar,Other  Rabi pulses,22,0.87,522551,621198.0
Bihar,Other Kharif pulses,21,0.71,137084,214576.0
Bihar,Peas & beans (Pulses),21,0.98,425023,436839.0
Bihar,Potato,20,10.96,23412225,2285823.0
Bihar,Ragi,23,0.96,385385,428855.0
Bihar,Rapeseed &Mustard,23,1.0,2085457,2021565.0
Bihar,Rice,68,1.59,131489958,76820596.0
Bihar,Safflower,21,0.81,4494,6082.0
Bihar,Sannhamp,18,1.3,57921,44137.0
Bihar,Sesamum,22,0.78,62530,91105.0
Bihar,Small millets,21,0.77,113334,171645.0
Bihar,Soyabean,1,0.75,14779,19600.0
Bihar,Sugarcane,21,48.32,178942980,3413737.0
Bihar,Sunflower,23,1.32,464443,356766.0
Bihar,Sweet potato,12,13.05,942343,73562.0
Bihar,Tobacco,21,1.49,374052,271266.0
Bihar,Turmeric,15,1.05,46063,44881.0
Bihar,Urad,22,0.82,342526,431517.0
Bihar,Wheat,23,2.2,110112855,48615978.0
Chhattisgarh,Arhar/Tur,20,0.49,542750,1074691.0
Chhattisgarh,Bajra,39,17.1,435401,16930.0
Chhattisgarh,Barley,20,0.84,50154,59530.0
Chhattisgarh,Castor seed,20,0.32,533,1656.0
Chhattisgarh,Coconut ,7,0.0,0,447.0
Chhattisgarh,Coriander,21,0.3,16707,60040.0
Chhattisgarh,Cotton(lint),20,1.38,10398,6327.0
Chhattisgarh,Dry chillies,20,0.59,74768,127179.0
Chhattisgarh,Garlic,21,3.05,55537,20506.0
Chhattisgarh,Ginger,20,1.16,39037,34940.0
Chhattisgarh,Gram,20,0.83,4303488,5161158.0
Chhattisgarh,Groundnut,20,1.31,765749,604092.0
Chhattisgarh,Guar seed,1,0.81,21,26.0
Chhattisgarh,Horse-gram,37,0.32,312559,983237.0
Chhattisgarh,Jowar,20,0.97,109907,121700.0
Chhattisgarh,Jute,12,0.0,0,2553.0
Chhattisgarh,Khesari,20,0.6,4167275,6702946.0
Chhattisgarh,Linseed,19,0.31,257027,889340.0
Chhattisgarh,Maize,22,1.72,3915195,2173783.0
Chhattisgarh,Masoor,20,0.32,103943,318070.0
Chhattisgarh,Mesta,20,2.03,45744,24039.0
Chhattisgarh,Moong(Green Gram),42,0.27,87163,300541.0
Chhattisgarh,Niger seed,20,0.43,233384,1326398.0
Chhattisgarh,Onion,22,6.95,554129,92914.0
Chhattisgarh,Other  Rabi pulses,20,0.34,10024,44349.0
Chhattisgarh,Other Kharif pulses,20,0.28,34395,137726.0
Chhattisgarh,Peas & beans (Pulses),20,0.34,100554,277547.0
Chhattisgarh,Potato,32,5.91,1182417,224228.0
Chhattisgarh,Ragi,19,0.25,42080,163573.0
Chhattisgarh,Rapeseed &Mustard,20,0.41,411055,968311.0
Chhattisgarh,Rice,20,1.43,116274060,78738887.0
Chhattisgarh,Safflower,20,0.29,3585,13245.0
Chhattisgarh,Sannhamp,20,0.42,12270,28199.0
Chhattisgarh,Sesamum,20,0.33,130751,408941.0
Chhattisgarh,Small millets,20,0.3,736461,3437330.0
Chhattisgarh,Soyabean,20,0.94,1186932,1411224.0
Chhattisgarh,Sugarcane,21,5.99,3513111,315473.0
Chhattisgarh,Sunflower,21,0.64,23051,72155.0
Chhattisgarh,Sweet potato,20,5.55,296964,53166.0
Chhattisgarh,Tobacco,19,0.61,250,468.0
Chhattisgarh,Turmeric,20,1.05,19164,21667.0
Chhattisgarh,Urad,40,0.29,626577,2107176.0
Chhattisgarh,Wheat,20,1.36,2412036,2009486.0
Delhi,Arhar/Tur,4,1.46,1164,789.0
Delhi,Bajra,22,1.98,75132,39614.0
Delhi,Barley,22,2.25,3636,2182.0
Delhi,Cotton(lint),5,1.0,5,5.0
Delhi,Gram,22,1.74,1006,979.0
Delhi,Jowar,22,0.88,111253,132314.0
Delhi,Maize,22,8.03,7327,1248.0
Delhi,Other Kharif pulses,7,1.4,2653,1948.0
Delhi,Potato,16,65.81,144659,5216.0
Delhi,Rapeseed &Mustard,1,2.5,8125,3250.0
Delhi,Rice,22,2.68,391753,146782.0
Delhi,Sugarcane,16,69.29,3992,59.0
Delhi,Wheat,22,4.19,1915317,463517.0
Goa,Arecanut,13,1.63,36000,22176.0
Goa,Banana,13,9.64,284022,29097.0
Goa,Black pepper,17,0.29,3211,10826.0
Goa,Cashewnut,17,0.42,397389,938328.0
Goa,Coconut ,17,5042.72,2188980000,433905.0
Goa,Groundnut,42,2.0,111746,52659.0
Goa,Other  Rabi pulses,19,0.95,144453,152991.0
Goa,Other Kharif pulses,19,0.61,4018,7475.0
Goa,Ragi,18,0.97,9488,9877.5
Goa,Rice,42,2.7,2817936,1066761.0
Goa,Sugarcane,22,51.34,1204279,22911.0
Goa,Sweet potato,4,2.61,560,228.0
Goa,other oilseeds,3,2.28,5247,2366.0
Gujarat,Arhar/Tur,23,0.96,5984735,6441106.0
Gujarat,Bajra,46,1.81,25840739,17608828.2
Gujarat,Banana,22,66.07,40633317,583910.0
Gujarat,Castor seed,24,1.96,21632374,11095340.0
Gujarat,Cotton(lint),23,2.8,143260549,51516424.0
Gujarat,Dry chillies,23,1.04,202183,209951.0
Gujarat,Garlic,23,5.75,3049310,473978.0
Gujarat,Gram,23,0.95,3993109,3695891.0
Gujarat,Groundnut,46,1.65,60515051,40974666.0
Gujarat,Guar seed,20,0.73,2506400,4266369.0
