State,Record_Count,Average_Yield,Total_Production,Average_Rainfall
Goa,246,354.7803048780488,2193998349,3352.6262749593493
Puducherry,670,346.5128370746522,493815573,1432.710447761194
Kerala,534,276.61114843343256,129700649853,2877.6054307116106
West Bengal,1094,266.89831094941593,8941179120,1721.623126142596
Tamil Nadu,822,226.05022098285522,78051759253,931.1608272506082
Assam,731,219.71634522824897,3637714928,2095.0661609083445
Andhra Pradesh,1266,181.4653907765782,26076218605,916.3822274881516
Karnataka,1432,105.72057807823953,63772797366,1181.8384998910615
Telangana,397,99.51820587628211,147700034,996.2455919395466
Delhi,203,13.118669950738918,2666022,632.9032467512316
Gujarat,817,6.697227126762546,807581678,784.7979192166463
Haryana,631,5.532732246922346,589739640,466.91307448542
Manipur,444,5.2169990883918915,18764635,1546.9460853941441
Uttar Pradesh,825,5.05311334865697,4442585302,758.2734545454546
Punjab,397,4.8528172189748116,781551409,508.96171284634755
Maharashtra,770,4.401030011575324,1878564915,1176.1957792402598
Tripura,441,4.289017141773242,16952054,2302.7659657845807
Uttarakhand,764,3.7352091499437177,179697348,1422.9021852905757
Arunachal Pradesh,292,3.7350603144315064,9522010,2609.75
Jharkhand,270,3.6097228619814814,43793850,1183.1722222222222
Bihar,896,3.476498628319196,544953534,1163.2137276785713
Madhya Pradesh,845,3.4578156864461542,834490323,1003.3482840236687
Nagaland,689,3.4025338586719887,18748702,1545.5507322641508
Odisha,760,3.1412508840578948,194080325,1445.2794736842104
Meghalaya,649,2.8787882490231125,16516629,4043.0803403620957
Mizoram,415,2.5744719449421685,2769208,2435.263756840964
Chhattisgarh,915,1.9667325895825136,143096606,1267.0461202185793
Himachal Pradesh,616,1.899496479787338,32297151,1147.4862012987012
Jammu and Kashmir,628,1.3123888918455415,30298377,1192.2138535031847
Sikkim,226,1.232856089336283,2744927,2570.335297681416
